"id","mission_name","mission_cost","launch_time_date","rocket_company_id","mission_status_id","launch_location_id"
83,"Juno I | Beacon 1",,"1958-10-23 03:21:00",16,4,69
84,"Vostok | E-1 n†­2 (Luna-1)",,"1958-10-11 21:41:00",28,4,97
85,"Vanguard | Vanguard SLV-3",,"1958-09-26 15:38:00",40,4,3
86,"Vostok | E-1 n†­1 (Luna-1)",,"1958-09-23 07:40:00",28,4,97
87,"NOTS-EV-1 Pilot II | Pilot-6 (R3",,"1958-08-29 00:00:00",40,4,2
88,"NOTS-EV-1 Pilot II | Pilot-5 (R2)",,"1958-08-26 00:00:00",40,4,2
89,"NOTS-EV-1 Pilot II | Pilot-4 (R1)",,"1958-08-25 00:00:00",40,4,2
90,"Juno I | Explorer 5",,"1958-08-24 06:17:00",16,4,69
91,"NOTS-EV-1 Pilot II | Pilot-3 (D3)",,"1958-08-22 00:00:00",40,4,2
92,"Thor-DM 18 Able I | Pioneer 0",,"1958-08-17 12:18:00",33,4,36
93,"NOTS-EV-1 Pilot II | Pilot-2 (D2)",,"1958-08-12 00:00:00",40,4,2
94,"ASLV | SROSS-A",,"1987-03-24 06:39:00",12,4,48
95,"NOTS-EV-1 Pilot II | Pilot-1 (D1)",,"1958-07-25 00:00:00",40,4,2
96,"Vanguard | Vanguard SLV-2",,"1958-06-26 05:00:00",40,4,3
97,"Vanguard | Vanguard SLV-1",,"1958-05-28 03:46:00",40,4,3
98,"Vanguard | Vanguard TV5",,"1958-04-28 02:53:00",40,4,3
99,"Sputnik 8A91 | Sputnik-3 #1",,"1958-04-27 09:01:00",28,4,97
100,"Soyuz U | Zenit-4MKM n†­399",,"1977-08-10 10:40:00",28,4,119
101,"Zenit-2 | Tselina-2 n†­9",,"1991-08-30 08:58:00",28,4,95
102,"Juno I | Explorer 2",,"1958-03-05 18:27:00",16,4,27
103,"Vanguard | Vanguard TV3BU",,"1958-02-05 07:33:00",40,4,3
104,"Titan II(23)G | Landsat 6",35,"1993-10-05 17:56:00",7,4,7
105,"Vanguard | Vanguard TV3",,"1957-12-06 16:44:00",40,4,3
106,"Atlas-SLV3 Agena-D | GATV 5004",,"1966-05-17 15:15:00",49,4,79
107,"Voskhod | Zenit-4 n†­18",,"1966-05-17 11:00:00",28,4,113
108,"Proton K/Block D | M-69 ???522",,"1969-04-02 10:33:00",28,4,81
109,"PSLV-G | IRS-P1",25,"1993-09-20 05:12:00",12,4,85
110,"Proton K/Block D | M-69 N†­521",,"1969-03-27 10:40:00",28,4,35
111,"Vostok-2M | Meteor n†­12",,"1969-03-26 12:30:00",28,4,113
112,"SLV-3 | Rohini Technology Payload",,"1979-08-10 02:28:00",12,4,48
113,"Feng Bao 1 | Shijian 2A",,"1979-07-27 21:28:00",56,4,25
114,"Safir-1B+ | Dousti",,"2019-02-05 00:00:00",9,4,105
115,"Molniya | Molniya-1 n†­5",,"1966-03-27 07:20:00",28,4,119
116,"Proton | Proton-3a",,"1966-03-24 14:39:00",28,4,81
117,"Dnepr | BelKa 1 & Others",29,"2006-07-26 19:43:00",30,4,60
118,"Falcon 9 v1.1 | CRS-7",56.5,"2015-06-28 14:21:00",15,4,127
119,"Athena I | GemStar 1",,"1995-08-15 22:30:00",3,4,87
120,"Zenit-2 | Tselina-2 n†­19",,"1997-05-20 07:07:00",55,4,95
121,"Voskhod | Zenit-2M n†­22",,"1971-08-19 06:30:00",28,4,119
122,"Cosmos-2I (63S1) | DS-K40 #2",,"1966-02-21 00:00:00",28,4,92
123,"Zenit-3 SL | ICO F-1",,"2000-03-12 14:49:00",52,4,8
124,"N1-L3 | 3L (Zond L1S-1)",,"1969-02-21 09:18:00",28,4,114
125,"Proton K/Block D | Luna-15a",,"1969-02-19 06:48:00",28,4,81
126,"Antares 130 | CRS Orb-3",80,"2014-10-28 22:22:00",21,4,100
127,"Cosmos-2I (63SM) | DS-P1-You #33",,"1971-08-03 11:00:00",28,4,120
128,"Vostok-2M | Meteor n†­11",,"1969-02-01 12:11:00",28,4,113
129,"Tsyklon-2A | US-A n†­5",,"1969-01-25 11:14:00",28,4,130
130,"Cosmos-3M (11K65M) | Ta??foun n†­59",,"1991-06-25 13:20:00",28,4,132
131,"Cosmos-2I (63S1) | DS-K40 #1",,"1965-12-28 00:00:00",28,4,92
132,"GSLV Mk I | INSAT-4C",47,"2006-07-10 12:08:00",12,4,50
133,"Proton K/Block D | Zond",,"1969-01-20 04:14:00",28,4,35
134,"Titan IV(403)A | SLDCOM & 3x NOSS",,"1993-08-02 19:59:00",7,4,83
135,"Zenit-2 | Globalstar Satellites",,"1998-09-09 20:29:00",55,4,95
136,"Cosmos-3M (11K65M) | Tselina-OM #10",,"1971-07-22 13:45:00",28,4,14
137,"Tsyklon-3 | Okean 2a",,"1989-06-09 10:10:00",28,4,134
138,"Taepodong-1 | Kwangmyngsng 1",,"1998-08-31 03:07:00",50,4,43
139,"N1-L3 | 6L (Test flight)",,"1971-06-26 23:15:00",28,4,19
140,"Voskhod | Zenit-4M n†­17",,"1971-06-25 10:30:00",28,4,110
141,"Delta III 8930 | Galaxy 10",,"1998-08-27 01:17:00",32,4,77
142,"Unha-3 | Kwangmyngsng-3",,"2012-04-12 22:38:00",50,4,44
143,"Pegasus XL | STEP-3",40,"1995-06-22 19:58:00",21,4,28
144,"Mu-V / M-24 | Astro E",,"2000-02-10 01:30:00",36,4,11
145,"Minotaur C (Taurus) | Orbview-4/QuikTOMS",45,"2001-09-21 18:49:00",21,4,123
146,"Atlas I | Yuri 3H",,"1991-04-18 23:30:00",49,4,18
147,"Atlas-SLV3 Agena-D | GATV 5002",,"1965-10-25 15:00:00",49,4,79
148,"Cosmos-3M (11K65M) | Ta??foun n†­27",,"1982-03-04 16:41:00",28,4,52
149,"Feng Bao 1 | JSSW-1",,"1973-09-18 12:12:00",56,4,25
150,"Titan IIIC | LCS-2 & OV2-1",,"1965-10-15 17:23:00",7,4,127
151,"PSLV-XL | IRNSS-1H",31,"2017-08-31 13:30:00",12,4,85
152,"Titan IV(401)A | NROL-7 (Mercury)",,"1998-08-12 11:30:00",3,4,106
153,"Simorgh | Zafar 1",,"2020-02-09 15:48:00",9,4,105
154,"SS-520 | TRICOM-1",,"2017-01-14 23:33:00",6,4,64
155,"Tsyklon-3 | Cosmos 1786 to 1791",,"1986-10-15 05:24:00",28,4,134
156,"Atlas-SLV3C Centaur-D | Mariner 8",,"1971-05-09 01:11:00",49,4,93
157,"GSLV Mk I | GSAT-5P",47,"2010-12-25 10:34:00",12,4,50
158,"Atlas-G Centaur-D1AR | Intelsat V -509",,"1984-06-09 23:03:00",49,4,18
159,"Shavit-1 | Ofek-6",,"2004-09-06 00:00:00",53,4,80
160,"Electron/Curie | Pics Or It Didn??¦t Happen",7.5,"2020-07-04 21:19:00",47,4,6
161,"Atlas-E/F SGS-1 | GPS-7",,"1981-12-19 01:10:00",49,4,10
162,"OS-M1 | Lingque-1B",,"2019-03-27 09:39:00",29,4,65
163,"Voskhod | Zenit-4M n†­50",,"1973-07-04 10:59:00",28,4,15
164,"Delta II 7925 | GPS IIR-1",,"1997-01-17 16:28:00",32,4,36
165,"Vostok-2 | Zenit-2 n†­28",,"1965-07-13 11:00:00",28,4,119
166,"Atlas-SLV3 Agena-D | KH-7 Gambit 4020",,"1965-07-12 19:00:00",49,4,83
167,"Cosmos-3M (11K65M) | Tselina-OM #20",,"1973-06-26 00:00:00",28,4,14
168,"Titan III(24)B | OPS 4018",,"1973-06-26 00:00:00",33,4,7
169,"Start | EKA-2, Gurwin & UNAMSAT A",,"1995-03-28 10:00:00",41,4,38
170,"Soyuz U | Zenit-4MK n†­381",,"1977-02-22 09:19:00",28,4,119
171,"Atlas-D OV1 | OV1-3",,"1965-05-28 02:54:00",49,4,82
172,"Cosmos-3M (11K65M) | DS-U3 satellite",,"1975-06-03 09:00:00",28,4,52
173,"Atlas-SLV3 Burner-2 | STP P68-1",,"1968-08-16 20:57:00",49,4,10
174,"Safir-1 | Unknown Payload",,"2008-08-17 00:00:00",9,4,105
175,"Cosmos-2I (63SM) | DS-P1-You #39",,"1971-03-05 08:15:00",28,4,92
176,"Voskhod | Zenit-2M n†­17",,"1971-03-05 01:02:00",28,4,110
177,"Space Shuttle Columbia | STS-107",450,"2003-01-16 15:39:00",38,4,137
178,"Electron | It's a Test",7.5,"2017-05-25 04:20:00",47,4,6
179,"Atlas I | UHF F1",,"1993-03-25 21:38:00",49,4,18
180,"Molniya | E-6 n†­8 (Luna)",,"1965-04-10 08:15:00",28,4,97
181,"VLS-1 | SACI-2",,"1999-12-11 19:40:00",23,4,21
182,"Cosmos-3M (11K65M) | Zaliv #17",,"1973-05-25 09:15:00",28,4,132
183,"Diamant B | Castor & Pollux",,"1973-05-22 21:37:00",8,4,133
184,"Titan III(23)C | DSCS-II 5&6",,"1975-05-20 14:03:00",7,4,127
185,"Falcon 1 | Flight 3",7,"2008-08-03 03:34:00",15,4,39
186,"Long March 2E | Apstar 2",,"1995-01-25 22:40:00",56,4,90
187,"Cosmos-3 (11K65) | Strela-2 #4",,"1968-06-15 00:00:00",28,4,76
188,"Atlas-LV3C Centaur-C | Surveyor-SD 1",,"1965-03-02 13:25:00",49,4,93
189,"Ariane 2 | Intelsat-5A 14",,"1986-05-31 00:53:00",13,4,55
190,"Cosmos-2I (63S1) | DS-A1 #6",,"1965-02-20 06:30:00",28,4,92
191,"Tsyklon-2 | Cosmos 556",,"1973-04-25 09:10:00",28,4,130
192,"Cosmos-3M (11K65M) | Sfera #2",,"1968-06-04 18:45:00",28,4,14
193,"Cosmos-2I (63S1) | DS-P1 You #2",,"1965-02-12 12:00:00",28,4,92
194,"Naro-1 | STSAT-2A",,"2009-08-25 08:00:00",44,4,62
195,"Pegasus XL | HETE & SAC-B",40,"1996-11-04 17:08:00",21,4,28
196,"Atlas-D OV1 | OV1-1",,"1965-01-21 20:09:00",49,4,82
197,"Falcon 1 | FalconSat-2",7,"2006-03-24 21:30:00",15,4,39
198,"Cosmos-3M (11K65M) | DS-P1-M #1",,"1970-12-22 21:30:00",28,4,14
199,"H-IIS | Himawari 6",,"1999-11-15 07:29:00",17,4,30
200,"Atlas-E/F Star-17A | P72-2",,"1975-04-13 00:51:00",49,4,70
201,"Cosmos-2I (63S1) | DS-2 #2",,"1964-12-01 00:00:00",28,4,98
202,"Proton K/Block D | Zond",,"1968-04-22 23:01:00",28,4,81
203,"Titan 34D | KH-9",,"1986-04-18 18:45:00",7,4,83
204,"Atlas-LV3 Agena-D | Mariner 3",,"1964-11-05 19:22:00",49,4,102
205,"Cosmos-1 (65S3) | Strela-1 #4, 5, 6",,"1964-10-23 00:00:00",28,4,76
206,"Soyuz | Soyuz 18a (7K-T n†­39)",,"1975-04-05 11:04:00",28,4,97
207,"Zenit-3 SL | Intelsat-27",,"2013-02-01 06:55:00",52,4,8
208,"Ariane 5 ECA | Hot Bird 7, Stentor, MFD-A, MFD-B",200,"2002-12-11 22:22:00",13,4,37
209,"Atlas-SLV3 Agena-D | KH-7 Gambit 4012",,"1964-10-08 00:00:00",49,4,83
210,"Europa 1 | STV-2",,"1969-07-03 08:06:00",48,4,63
211,"Long March 2E | Optus-B2",,"1992-12-21 11:21:00",56,4,90
212,"Atlas-SLV3C Centaur-D | OAO-B",,"1970-11-30 22:40:00",49,4,18
213,"Ariane 42P | Panamsat-3",,"1994-12-01 22:57:00",13,4,107
214,"Titan IIIA | Transtage 1",63.23,"1964-09-01 15:00:00",33,4,47
215,"Long March 7A | XJY-6",,"2020-03-16 13:34:00",56,4,31
216,"SARGE | Launch 4",,"2019-10-26 17:40:00",4,4,57
217,"Cosmos-2I (63SM) | DS-U1-Ya #1",,"1968-03-06 00:00:00",28,4,92
218,"Black Arrow | Orba",,"1970-11-02 00:34:00",1,4,63
219,"Atlas-SLV3D Centaur-D1A | Intelsat 4 F6",,"1975-02-20 23:35:00",49,4,93
220,"Feng Bao 1 | JSSW-6",,"1976-11-10 09:05:00",56,4,25
221,"Atlas-LV3C Centaur-C | AC-3 (Test Vehicle)",,"1964-06-30 14:04:00",49,4,93
222,"Molniya-M /Block L | E-6LS n†­112",,"1968-02-07 10:43:00",28,4,97
223,"Mu-IV S | Shinsei",,"1970-09-22 05:00:00",36,4,11
224,"Space Shuttle Challenger | STS-51-L",450,"1986-01-28 16:38:00",38,4,137
225,"Molniya | Molniya-1 n†­1",,"1964-06-04 04:00:00",28,4,97
226,"Zenit-2 | Tselina-2 n†­8",,"1990-10-04 04:27:00",28,4,29
227,"ASLV | SROSS-B",,"1988-07-31 09:18:00",12,4,48
228,"Molniya | E-6 n†­5 (Luna 5)",,"1964-04-20 08:08:00",28,4,97
229,"N1-L3 | 7L (Soyuz 7K-LOK No.1)",,"1972-11-23 06:11:00",28,4,19
230,"Soyuz U | Zenit-4MKT n†­370",,"1976-10-04 11:00:00",28,4,110
231,"Molniya | E-6 n†­6",,"1964-03-21 08:15:00",28,4,97
232,"Long March 4C | Gaofen-10",64.68,"2016-08-31 18:50:00",56,4,111
233,"Simorgh | Payam-e Amirkabir",,"2019-01-15 00:30:00",9,4,105
234,"Kaituozhe 1 | PS 1",,"2002-09-15 00:00:00",42,4,101
235,"Molniya | 3MV-1 n†­2 (Zond 1)",,"1964-02-19 05:47:00",28,4,97
236,"Proton K/Block D | Zond",,"1967-11-22 19:07:00",28,4,81
237,"Tsyklon-3 | Cosmos 2377 to 2379 & Gonets 7 to 9",,"2000-12-27 18:56:00",55,4,89
238,"Cosmos-3M (11K65M) | Strela-2M satellite",,"1972-10-17 19:59:00",28,4,132
239,"Vostok-2 | Zenit-2 n†­14",,"1963-11-28 09:19:00",28,4,97
240,"Shavit | Ofek-4",,"1998-01-22 00:00:00",53,4,80
241,"Falcon 1 | DemoSat",7,"2007-03-21 01:10:00",15,4,39
242,"Kuaizhou 11 | Jilin-1 02E, CentiSpace-1 S2",28.3,"2020-07-10 04:17:00",18,4,65
243,"Cosmos-2I (63S1) | DS-A1 #4",,"1963-10-24 04:30:00",28,4,98
244,"Long March 2 | FSW-0 No.0",,"1974-11-05 09:40:00",56,4,25
245,"Ariane 5 G | Cluster",,"1996-06-04 12:34:00",24,4,37
246,"Scout X-2B | DSAP-1 F5 (Program 35)",,"1963-09-27 11:17:00",33,4,122
247,"Cosmos-3M (11K65M) | Parouss n†­50",,"1985-10-23 17:24:00",28,4,120
248,"Cosmos-2I (63S1) | DS-A1 #3",,"1963-08-22 06:00:00",28,4,98
249,"Voskhod | Zenit-4 n†­75",,"1970-07-21 12:30:00",28,4,110
250,"Voskhod | Zenit-4M n†­40",,"1972-09-02 10:49:00",28,4,110
251,"Vostok-2 | Zenit-2 n†­12",,"1963-07-10 10:03:00",28,4,97
252,"Proton K/Block D | Zond",,"1967-09-27 21:11:00",28,4,35
253,"Cosmos-3M (11K65M) | Zaliv #2",,"1967-09-27 11:00:00",28,4,14
254,"Atlas I | Galaxy 1R",,"1992-08-22 22:40:00",49,4,18
255,"Cosmos-3M (11K65M) | Strela-2M satellite",,"1970-06-27 16:40:00",28,4,14
256,"Atlas-LV3 Agena-B | Midas 8",,"1963-06-12 00:00:00",49,4,10
257,"Cosmos-2I (63S1) | DS-MT #1",,"1963-06-01 00:00:00",28,4,98
258,"Safir-1B+ | Unknown Payload",,"2015-02-17 00:00:00",9,4,105
259,"Rokot/Briz KM | CryoSat-1",41.8,"2005-10-08 15:02:00",43,4,120
260,"Titan III(23)C | DSCS-II 9&10",,"1978-03-25 18:09:00",7,4,127
261,"Cosmos-3M (11K65M) | QuickBird-1",,"2000-11-20 23:00:00",55,4,132
262,"Scout X-2M | DSAP-1 F4 (Program 35)",,"1963-04-26 00:00:00",33,4,122
263,"Tsyklon-3 | Cosmos 1242",,"1981-01-23 11:20:00",28,4,89
264,"Voskhod | Zenit-2 n†­51",,"1967-09-01 10:30:00",28,4,113
265,"Cosmos-2I (63S1) | DS-P1 #2",,"1963-04-06 03:01:00",28,4,98
266,"Scout X-3 | Transit-5A 2",,"1963-04-05 03:01:00",33,4,122
267,"Naro-1 | STSAT-2B",,"2010-06-10 08:01:00",44,4,62
268,"Super Stripy | HiakaSat, STACEM & Others",15,"2015-11-04 00:00:00",11,4,12
269,"Molniya | E-6 n†­2 (Luna 4)",,"1963-02-03 09:29:00",28,4,97
270,"Molniya | E-6 n†­1 (Luna 4)",,"1963-01-04 08:49:00",28,4,97
271,"Europa 1 | STV-3",,"1970-06-12 06:06:00",48,4,63
272,"Proton K/Block D | DOS-2",,"1972-07-29 03:20:00",28,4,35
273,"Atlas-LV3 Agena-B | Midas 6",,"1962-12-17 20:36:00",49,4,10
274,"Zenit-3 SL | NSS-8",,"2007-01-30 23:21:00",52,4,8
275,"Cosmos-2I (63SM) | DS-P1-You #36",,"1970-05-22 12:39:00",28,4,120
276,"Voskhod | Zenit-4 n†­32",,"1967-07-21 06:00:00",28,4,119
277,"Voskhod | Zenit-2M n†­51",,"1974-08-30 09:00:00",28,4,113
278,"Molniya | 2MV-3 n†­1 (Mars 2)",,"1962-11-04 15:35:00",28,4,97
279,"Cosmos-3M (11K65M) | Tselina-OM #1",,"1967-06-26 00:00:00",28,4,14
280,"Voskhod | Zenit-4 n†­31",,"1967-06-20 11:00:00",28,4,113
281,"Cosmos-2I (63S1) | 1MS #2",,"1962-10-25 07:00:00",28,4,98
282,"Molniya | 2MV-4 n†­1 (Mars 1)",,"1962-10-24 17:55:00",28,4,97
283,"Safir-1B+ | Unknown Payload",,"2012-09-22 00:00:00",9,4,105
284,"Atlas-E/F MSD | NOSS-4",,"1980-12-09 07:18:00",49,4,70
285,"Delta III 8930 | Orion 3",,"1999-05-05 01:00:00",32,4,77
286,"Titan IV(401)B | Milstar DFS-3m",,"1999-04-30 16:30:00",3,4,127
287,"Ariane 3 | ECS 3, Spacenet 3",,"1985-09-12 23:26:00",13,4,55
288,"H-IIA 2024 | IGS-Optical (2), IGS-Radar (2)",,"2003-11-29 04:33:00",17,4,30
289,"Titan 34D | KH-11",,"1985-08-28 21:20:00",7,4,83
290,"Athena II | Ikonos",,"1999-04-27 18:22:00",3,4,87
291,"Pegasus XL | STEP-1",40,"1994-06-27 21:15:00",21,4,28
292,"Unha-2 | Kwangmyngsng-2",,"2009-04-05 02:20:00",50,4,43
293,"Molniya | 2MV-2 n†­1 (Venera 2)",,"1962-09-12 00:59:00",28,4,97
294,"VLS-1 | SCD-2A",,"1997-11-02 00:00:00",23,4,21
295,"Molniya | 2MV-1 n†­2 (Venera 2)",,"1962-09-01 02:12:00",28,4,97
296,"Tsyklon-3 | Cosmos 2281",,"1994-05-25 10:14:00",55,4,134
297,"Molniya | 2MV-1 n†­1 (Venera 2)",,"1962-08-25 02:56:00",28,4,97
298,"Titan III(24)B | OPS 6574",,"1972-05-20 15:30:00",33,4,7
299,"Feng Bao 1 | JSSW-2",,"1974-07-12 13:55:00",56,4,25
300,"Titan IIIB | OPS 4243",59,"1967-04-26 00:00:00",33,4,7
301,"Cosmos-2I (63SM) | DS-P1-You n†­68",,"1974-07-11 11:00:00",28,4,120
302,"Proton K/Block D | Luna-16c",,"1970-02-06 04:16:00",28,4,35
303,"Atlas-LV3 Agena-B | Mariner 1",,"1962-07-22 09:21:00",49,4,51
304,"Cosmos-2I (63SM) | DS-P1-I #6",,"1970-01-30 15:40:00",28,4,120
305,"Cosmos-2I (63SM) | DS-P1-You #51",,"1972-04-25 11:30:00",28,4,120
306,"Lambda-IV S | Osumi",,"1967-04-03 00:00:00",45,4,64
307,"ZhuQue-1 | CCTV Future-1",,"2018-10-27 08:00:00",14,4,65
308,"Simorgh | Test Flight",,"2017-07-27 00:00:00",9,4,105
309,"Tsyklon | OGTch 3",,"1967-03-22 14:05:00",28,4,88
310,"Titan IV(402)B | DSP",,"1999-04-09 17:01:00",3,4,106
311,"Long March 3B | Intelsat 708",,"1996-02-14 19:01:00",56,4,90
312,"Vostok-2 | Zenit-2 n†­3",,"1962-06-01 09:37:00",28,4,97
313,"Zenit-2 | EPN 03.0694 n†­2",,"1985-06-21 08:29:00",28,4,95
314,"Cosmos-3M (11K65M) | Ionosfernaya #1",,"1969-12-27 14:20:00",28,4,132
